05,FONTE,TÍTULO,CATEGORIA,MUNICÍPIO,BAIRRO,REGIÃO - ZONA,LINK,OPERADOR,Coluna 1,Coluna 2
21/02/2025,Google Maps,Acidente na Ponte Rio-Niterói causa engarrafamento no sentido Niterói. ,Acidente de Trânsito,Rio de Janeiro,Ponte Rio-Niterói,Região Metropolitana do Rio de Janeiro,https://docs.google.com/spreadsheets/d/1zeyKBgXqWyR_VMIHxIAM_lNHc41uSLicgVlhPhc70Os/edit?usp=drive_link,Josniel,,
21/02/2025,Chat OTT,"Disparos foram ouvidos nas imediações do Morro do Juramentinho, em Tomás Coelho. ",Tiroteio,Rio de Janeiro,Tomás Coelho,Zona Norte,https://docs.google.com/spreadsheets/d/1zeyKBgXqWyR_VMIHxIAM_lNHc41uSLicgVlhPhc70Os/edit?usp=drive_link,Josniel,,
21/02/2025,COR (Perfil X),"Vias no entorno do Sambódromo serão interditadas para a realização de ensaios técnicos das escolas de samba, neste fim de semana (21, 22 e 23/02). Os bloqueios começam às 18h.",Interdição por ocorrência,Rio de Janeiro,Sambadrome Marquês de Sapucaí,Centro,https://docs.google.com/spreadsheets/d/1zeyKBgXqWyR_VMIHxIAM_lNHc41uSLicgVlhPhc70Os/edit?usp=drive_link,Josniel,,
21/02/2025,App VIU,Disparos foram relatados nas proximidades do bairro Parada de Lucas. Evite a região,Tiroteio,Rio de Janeiro,Parada de Lucas,Zona Norte,https://docs.google.com/spreadsheets/d/1zeyKBgXqWyR_VMIHxIAM_lNHc41uSLicgVlhPhc70Os/edit?usp=drive_link,Letícia,,
21/02/2025,X,"Na Rua Cândido Benício, uma manifestação interditada uma faixa do sentido Campinho, na altura da estação do BRT IPase. Concessionária e PM no local. O trânsito é intenso no trecho.",Atos programados (manifestações),Rio de Janeiro,Praça Seca,ZONA OESTE,https://docs.google.com/spreadsheets/d/1zeyKBgXqWyR_VMIHxIAM_lNHc41uSLicgVlhPhc70Os/edit?usp=drive_link,Letícia,,
21/02/2025,App VIU,"Moradores relatam disparos nas proximidades da Rua Estrela, na Vila Guimarães, em Nova Iguaçu. Evite a região",Tiroteio,Rio de Janeiro,Nova Iguaçu,Baixada Fluminense,https://docs.google.com/spreadsheets/d/1zeyKBgXqWyR_VMIHxIAM_lNHc41uSLicgVlhPhc70Os/edit?usp=drive_link,Letícia,,
21/02/2025,App VIU,"Tiros foram relatados por moradores nas proximidades da Av. Salvador Allende, em Jacarepaguá. Evite a região até que a situação seja normalizada.",Tiroteio,Nova Iguaçu,Jacarepaguá,ZONA OESTE,https://docs.google.com/spreadsheets/d/1zeyKBgXqWyR_VMIHxIAM_lNHc41uSLicgVlhPhc70Os/edit?usp=drive_link,Letícia,,
21/02/2025,App VIU,"Disparos e explosões reportados nas proximidades do Largo do Pechincha, em Jacarepaguá. Evite a região",Tiroteio,Rio de Janeiro,Jacarepaguá,ZONA OESTE,https://docs.google.com/spreadsheets/d/1zeyKBgXqWyR_VMIHxIAM_lNHc41uSLicgVlhPhc70Os/edit?usp=drive_link,Letícia,,
22/02/2025,App VIU,Moradores relatam explosões e tiros nas imediações de Brás de Pina. Evite transitar na área até que a situação seja normalizada,Tiroteio,Rio de Janeiro,Brás de Pina,Zona Norte,https://docs.google.com/spreadsheets/d/1zeyKBgXqWyR_VMIHxIAM_lNHc41uSLicgVlhPhc70Os/edit?usp=drive_link,Letícia,,
22/02/2025,App VIU,"Moradores informam disparos na R. Albano, na altura do Campo Rondão, em São José, Belford Roxo. Evite a região.",Tiroteio,Belford Roxo,Belford Roxo,Baixada Fluminense,https://docs.google.com/spreadsheets/d/1zeyKBgXqWyR_VMIHxIAM_lNHc41uSLicgVlhPhc70Os/edit?usp=drive_link,Letícia,,
